TAA	TAG	TGA
188.0	344.0	20
107.0	20.0	20
51.0	20.0	20
182.0	21.0	85
20.0	20.0	20
33.0	20.0	21
26.0	20.0	22
245.0	22.0	20
24.0	151.0	20
23.0	217.0	182
61.0	20.0	21
172.0	2.0	20
20.0	28.0	20
20.0	20.0	148
20.0	104.0	20
20.0	49.0	298
13.0	2.0	20
129.0	198.0	119
20.0	241.0	73
23.0	31.0	54
18.0	20.0	20
85.0	20.0	376
18.0	23.0	146
22.0	36.0	9
159.0	20.0	155
23.0	31.0	66
20.0	65.0	20
17.0	24.0	2
146.0	21.0	20
135.0	21.0	22
20.0	20.0	44
21.0	203.0	284
21.0	56.0	10
77.0	129.0	141
22.0	37.0	21
82.0	20.0	20
73.0	20.0	87
126.0	41.0	137
62.0	374.0	20
88.0	20.0	184
21.0	17.0	21
120.0	69.0	31
130.0	21.0	139
186.0	57.0	135
20.0	20.0	20
20.0	98.0	20
115.0	166.0	20
21.0	20.0	132
89.0	20.0	30
20.0	20.0	17
20.0	21.0	20
21.0	125.0	201
136.0	20.0	157
57.0	22.0	82
20.0	47.0	39
152.0	21.0	142
375.0	20.0	57
430.0	145.0	23
22.0	60.0	151
34.0	22.0	20
194.0	20.0	21
121.0	161.0	175
21.0	20.0	160
21.0	62.0	15
20.0	24.0	20
184.0	48.0	7
5.0	68.0	85
15.0	23.0	85
28.0	10.0	19
20.0	61.0	164
48.0	52.0	16
227.0	21.0	104
20.0	21.0	20
35.0	322.0	20
151.0	35.0	201
262.0	153.0	80
11.0	25.0	313
57.0	30.0	21
1.0	53.0	20
86.0	217.0	20
19.0	6.0	70
23.0	243.0	58
147.0	149.0	141
49.0	232.0	40
169.0	83.0	150
57.0	106.0	20
135.0	20.0	20
17.0	20.0	20
20.0	120.0	20
20.0	20.0	177
64.0	20.0	21
60.0	25.0	20
26.0	21.0	236
69.0	20.0	90
241.0	85.0	42
29.0	21.0	61
20.0	133.0	180
107.0	123.0	33
210.0	23.0	20
20.0	21.0	10
19.0	20.0	66
2.0	20.0	77
45.0	22.0	138
51.0	210.0	98
22.0	93.0	70
20.0	20.0	20
20.0	21.0	33
62.0	20.0	41
113.0	53.0	21
41.0	189.0	63
35.0	2.0	43
181.0	86.0	217
20.0	131.0	20
21.0	68.0	20
20.0	125.0	184
20.0	164.0	24
9.0	208.0	20
52.0	20.0	205
20.0	20.0	21
5.0	152.0	20
20.0	21.0	20
20.0	29.0	20
20.0	54.0	152
106.0	8.0	44
7.0	70.0	102
116.0	145.0	20
22.0	89.0	20
39.0	69.0	110
210.0	13.0	76
86.0	31.0	82
4.0	76.0	109
109.0	137.0	21
252.0	20.0	20
26.0	20.0	20
80.0	20.0	240
20.0	36.0	140
256.0	68.0	24
36.0	91.0	8
21.0	126.0	43
20.0	28.0	156
20.0	101.0	17
117.0	22.0	305
252.0	63.0	21
147.0	36.0	24
1.0	21.0	10
20.0	2.0	124
104.0	83.0	113
97.0	278.0	21
20.0	190.0	239
21.0	209.0	72
59.0	134.0	293
120.0	21.0	20
38.0	35.0	49
6.0	85.0	127
20.0	13.0	530
246.0	158.0	415
20.0	4.0	478
20.0	94.0	27
20.0	53.0	244
302.0	42.0	31
23.0	143.0	21
20.0	127.0	20
20.0	20.0	178
20.0	2.0	14
26.0	169.0	225
136.0	91.0	168
21.0	53.0	20
161.0	9.0	92
20.0	43.0	21
20.0	30.0	20
24.0	110.0	21
21.0	20.0	169
20.0	20.0	8
23.0	20.0	43
18.0	172.0	55
80.0	135.0	36
36.0	21.0	82
97.0	344.0	78
119.0	1.0	63
26.0	159.0	21
46.0	91.0	22
31.0	70.0	123
233.0	153.0	40
191.0	20.0	86
21.0	20.0	68
152.0	247.0	57
137.0	75.0	74
21.0	127.0	66
20.0	81.0	160
210.0	20.0	23
20.0	154.0	91
30.0	22.0	47
40.0	136.0	20
128.0	23.0	20
185.0	20.0	99
60.0	25.0	153
60.0	18.0	54
93.0	13.0	20
3.0	140.0	267
30.0	21.0	81
102.0	28.0	131
20.0	76.0	17
20.0	32.0	96
20.0	68.0	195
32.0	200.0	35
8.0	18.0	51
20.0	32.0	21
22.0	68.0	20
20.0	21.0	195
20.0	20.0	35
21.0	42.0	20
21.0	21.0	7
105.0	26.0	13
9.0	20.0	117
1178.0	14.0	101
73.0	20.0	21
23.0	20.0	42
102.0	99.0	12
21.0	24.0	23
219.0	22.0	35
150.0	20.0	2
25.0	114.0	16
20.0	20.0	169
176.0	23.0	59
20.0	347.0	90
20.0	20.0	53
22.0	20.0	52
20.0	20.0	22
20.0	261.0	165
223.0	8.0	147
22.0	20.0	30
228.0	58.0	37
37.0	10.0	29
20.0	107.0	46
102.0	34.0	38
278.0	168.0	26
81.0	22.0	18
7.0	20.0	54
166.0	10.0	27
26.0	39.0	206
20.0	92.0	29
23.0	160.0	75
20.0	23.0	271
27.0	112.0	107
20.0	3.0	63
246.0	20.0	20
20.0	44.0	20
8.0	17.0	21
23.0	26.0	7
126.0	37.0	17
25.0	86.0	41
27.0	21.0	144
234.0	94.0	46
145.0	47.0	370
20.0	36.0	22
22.0	34.0	16
166.0	330.0	108
145.0	20.0	138
20.0	112.0	20
1.0	273.0	20
181.0	36.0	173
20.0	140.0	82
20.0	152.0	23
20.0	19.0	58
20.0	2.0	6
21.0	52.0	56
30.0	270.0	134
161.0	140.0	20
20.0	49.0	218
268.0	81.0	116
128.0	23.0	42
21.0	280.0	20
41.0	20.0	24
91.0	20.0	190
105.0	20.0	10
21.0	20.0	162
20.0	20.0	46
31.0	68.0	66
50.0	20.0	25
230.0	21.0	37
99.0	179.0	204
63.0	118.0	23
18.0	23.0	20
20.0	22.0	20
141.0	21.0	25
22.0	209.0	31
829.0	20.0	21
20.0	21.0	20
21.0	20.0	20
284.0	305.0	21
262.0	161.0	280
20.0	206.0	283
20.0	71.0	46
20.0	627.0	69
292.0	77.0	133
20.0	55.0	233
166.0	137.0	20
4.0	49.0	20
93.0	20.0	496
52.0	20.0	153
25.0	121.0	41
124.0	20.0	20
42.0	20.0	20
349.0	69.0	125
20.0	226.0	20
4.0	20.0	21
203.0	58.0	20
20.0	13.0	100
21.0	81.0	45
112.0	50.0	45
39.0	24.0	20
31.0	41.0	20
192.0	23.0	139
23.0	3.0	20
24.0	91.0	20
21.0	91.0	137
20.0	20.0	127
20.0	47.0	28
20.0	20.0	44
20.0	1.0	20
21.0	85.0	219
22.0	10.0	20
20.0	151.0	114
87.0	20.0	130
47.0	171.0	108
22.0	4.0	206
20.0	157.0	286
20.0	21.0	89
20.0	21.0	32
145.0	21.0	20
227.0	22.0	21
101.0	75.0	19
21.0	129.0	98
30.0	8.0	43
21.0	21.0	84
59.0	185.0	20
127.0	174.0	20
77.0	22.0	22
98.0	85.0	50
20.0	25.0	22
102.0	157.0	76
85.0	45.0	20
78.0	20.0	177
22.0	21.0	20
40.0	20.0	21
20.0	102.0	20
39.0	199.0	98
22.0	32.0	17
20.0	105.0	20
20.0	45.0	20
21.0	256.0	286
20.0	172.0	21
155.0	100.0	10
20.0	3.0	75
20.0	115.0	117
20.0	21.0	249
251.0	148.0	255
21.0	5.0	20
20.0	133.0	4
181.0	91.0	33
78.0	125.0	104
24.0	20.0	37
20.0	20.0	81
22.0	21.0	145
20.0	17.0	20
6.0	64.0	31
48.0	38.0	157
26.0	175.0	160
10.0	20.0	20
22.0	20.0	20
21.0	20.0	7
90.0	210.0	96
17.0	20.0	20
20.0	20.0	51
10.0	24.0	324
75.0	124.0	20
110.0	125.0	20
21.0	14.0	22
140.0	322.0	259
198.0	33.0	115
20.0	20.0	169
20.0	21.0	21
24.0	20.0	20
20.0	152.0	67
20.0	161.0	20
183.0	20.0	203
20.0	40.0	273
2.0	27.0	20
21.0	20.0	47
149.0	20.0	89
20.0	193.0	20
20.0	20.0	118
21.0	68.0	50
20.0	37.0	61
199.0	66.0	256
34.0	319.0	10
46.0	20.0	20
96.0	2.0	110
205.0	160.0	21
52.0	18.0	21
196.0	236.0	21
20.0	21.0	20
20.0	27.0	107
20.0	229.0	41
210.0	14.0	20
98.0	126.0	20
20.0	20.0	20
20.0	154.0	21
148.0	14.0	61
20.0	70.0	20
131.0	46.0	20
73.0	20.0	26
189.0	62.0	7
20.0	75.0	78
20.0	34.0	202
3.0	27.0	20
20.0	96.0	134
72.0	28.0	171
21.0	25.0	39
20.0	27.0	20
15.0	18.0	21
78.0	20.0	270
59.0	20.0	95
19.0	23.0	20
75.0	21.0	20
20.0	20.0	44
20.0	91.0	79
295.0	456.0	20
43.0	20.0	13
143.0	171.0	132
48.0	104.0	90
20.0	25.0	22
22.0	18.0	366
101.0	20.0	24
21.0	282.0	173
224.0	196.0	88
7.0	192.0	27
246.0	20.0	10
20.0	60.0	41
4.0	42.0	4
13.0	101.0	26
16.0	188.0	29
18.0	2.0	110
57.0	48.0	20
105.0	8.0	14
20.0	20.0	66
20.0	162.0	33
177.0	21.0	436
20.0	16.0	23
134.0	54.0	20
133.0	114.0	151
20.0	21.0	101
21.0	20.0	3
20.0	20.0	25
20.0	20.0	20
20.0	20.0	222
151.0	27.0	164
147.0	4.0	42
79.0	132.0	20
111.0	4.0	20
50.0	81.0	147
20.0	20.0	32
22.0	12.0	20
112.0	35.0	20
46.0	48.0	24
20.0	20.0	20
125.0	42.0	20
20.0	31.0	20
3.0	22.0	250
157.0	105.0	82
21.0	34.0	20
1.0	253.0	20
139.0	20.0	20
51.0	144.0	42
20.0	12.0	122
55.0	29.0	21
154.0	76.0	23
26.0	21.0	20
83.0	40.0	20
138.0	31.0	174
97.0	20.0	50
47.0	74.0	22
20.0	20.0	94
21.0	20.0	69
148.0	20.0	38
20.0	386.0	20
78.0	21.0	20
95.0	20.0	85
158.0	21.0	30
20.0	20.0	20
316.0	20.0	20
20.0	202.0	20
22.0	24.0	1
21.0	20.0	49
94.0	119.0	37
20.0	111.0	193
75.0	56.0	111
20.0	85.0	74
65.0	169.0	26
22.0	21.0	20
299.0	20.0	25
56.0	95.0	21
24.0	27.0	245
97.0	27.0	36
24.0	22.0	17
205.0	164.0	23
299.0	135.0	32
89.0	28.0	67
80.0	70.0	89
19.0	95.0	118
79.0	23.0	104
20.0	24.0	20
21.0	20.0	20
20.0	20.0	145
1.0	21.0	167
35.0	150.0	22
36.0	36.0	20
151.0	5.0	21
21.0	96.0	20
20.0	90.0	363
106.0	679.0	188
196.0	20.0	236
24.0	187.0	1
20.0	21.0	29
20.0	60.0	72
20.0	162.0	14
23.0	105.0	76
24.0	64.0	104
97.0	18.0	70
39.0	20.0	79
43.0	21.0	22
72.0	20.0	40
136.0	20.0	9
20.0	20.0	36
23.0	20.0	23
416.0	141.0	190
38.0	20.0	23
20.0	20.0	21
20.0	101.0	23
20.0	36.0	45
23.0	16.0	101
259.0	89.0	285
233.0	26.0	133
117.0	20.0	20
25.0	211.0	20
54.0	26.0	90
49.0	166.0	153
20.0	123.0	64
25.0	201.0	20
10.0	59.0	67
74.0	99.0	153
21.0	358.0	187
30.0	281.0	21
68.0	21.0	130
20.0	4.0	172
5.0	23.0	170
20.0	126.0	20
20.0	39.0	12
129.0	20.0	143
81.0	2.0	31
1.0	42.0	20
193.0	219.0	4
22.0	21.0	20
20.0	280.0	64
20.0	183.0	4
23.0	20.0	23
21.0	20.0	27
20.0	182.0	3
3.0	23.0	20
155.0	46.0	20
20.0	128.0	130
20.0	20.0	48
32.0	56.0	49
110.0	226.0	20
150.0	20.0	20
55.0	20.0	74
198.0	20.0	37
22.0	33.0	47
20.0	20.0	107
20.0	63.0	116
63.0	19.0	69
78.0	17.0	24
56.0	6.0	21
121.0	20.0	20
11.0	23.0	22
230.0	21.0	158
23.0	48.0	113
20.0	85.0	49
11.0	20.0	172
141.0	1.0	11
48.0	90.0	105
111.0	21.0	9
128.0	20.0	24
20.0	90.0	50
214.0	63.0	29
18.0	200.0	14
58.0	22.0	96
71.0	20.0	48
11.0	21.0	21
22.0	175.0	20
20.0	186.0	21
41.0	32.0	196
17.0	21.0	60
107.0	85.0	23
20.0	20.0	173
21.0	137.0	22
162.0	110.0	20
329.0	89.0	21
20.0	155.0	21
129.0	226.0	20
26.0	116.0	67
20.0	110.0	141
32.0	39.0	111
49.0	15.0	20
189.0	47.0	20
32.0	172.0	21
118.0	121.0	126
22.0	14.0	25
22.0	24.0	20
292.0	71.0	20
88.0	20.0	5
94.0	20.0	177
13.0	268.0	28
48.0	161.0	50
22.0	20.0	313
47.0	20.0	2
31.0	20.0	20
77.0	49.0	44
30.0	69.0	95
55.0	21.0	21
45.0	130.0	25
20.0	58.0	20
20.0	41.0	348
22.0	20.0	20
20.0	94.0	29
20.0	15.0	220
57.0	58.0	77
119.0	47.0	33
10.0	22.0	4
39.0	101.0	219
72.0	39.0	21
111.0	20.0	21
252.0	8.0	20
20.0	94.0	20
21.0	20.0	20
50.0	6.0	20
21.0	289.0	21
20.0	20.0	239
28.0	136.0	5
195.0	20.0	61
130.0	20.0	21
20.0	20.0	81
5.0	20.0	50
10.0	14.0	20
50.0	51.0	21
62.0	284.0	21
21.0	20.0	20
20.0	20.0	11
23.0	128.0	55
103.0	28.0	20
27.0	333.0	173
20.0	20.0	39
13.0	107.0	81
223.0	47.0	20
22.0	7.0	20
20.0	80.0	33
22.0	26.0	215
12.0	11.0	20
170.0	27.0	21
39.0	93.0	20
22.0	21.0	20
106.0	114.0	9
29.0	800.0	159
11.0	118.0	20
84.0	100.0	367
101.0	54.0	68
20.0	22.0	46
21.0	20.0	27
20.0	150.0	20
67.0	94.0	20
26.0	132.0	20
37.0	20.0	22
50.0	20.0	29
19.0	21.0	67
192.0	171.0	24
24.0	20.0	23
20.0	6.0	20
20.0	32.0	184
222.0	353.0	131
20.0	157.0	21
21.0	20.0	93
20.0	199.0	54
39.0	142.0	43
21.0	20.0	164
20.0	21.0	103
67.0	43.0	139
151.0	62.0	20
2.0	64.0	20
49.0	31.0	20
20.0	41.0	53
21.0	20.0	119
20.0	21.0	28
335.0	13.0	166
20.0	34.0	20
20.0	20.0	20
20.0	109.0	108
20.0	47.0	23
22.0	95.0	288
20.0	63.0	20
25.0	33.0	18
207.0	23.0	140
20.0	32.0	31
22.0	336.0	38
21.0	397.0	90
7.0	20.0	17
187.0	21.0	29
20.0	20.0	26
90.0	179.0	142
21.0	112.0	21
20.0	219.0	353
20.0	169.0	284
246.0	117.0	456
151.0	44.0	31
20.0	12.0	20
20.0	316.0	20
20.0	20.0	20
27.0	20.0	155
33.0	20.0	86
20.0	187.0	20
20.0	74.0	105
22.0	46.0	2
1.0	126.0	22
187.0	22.0	238
22.0	21.0	71
129.0	42.0	189
6.0	20.0	152
38.0	29.0	20
20.0	29.0	220
86.0	140.0	23
33.0	22.0	20
21.0	33.0	21
17.0	5.0	204
77.0	38.0	176
345.0	20.0	20
37.0	20.0	20
21.0	103.0	20
21.0	21.0	3
20.0	20.0	116
54.0	20.0	94
21.0	20.0	91
54.0	89.0	20
20.0	223.0	4
62.0	20.0	60
56.0	347.0	158
143.0	110.0	23
20.0	22.0	6
20.0	158.0	55
21.0	20.0	68
20.0	10.0	20
20.0	66.0	26
70.0	20.0	87
36.0	288.0	20
27.0	22.0	57
43.0	21.0	331
153.0	110.0	14
9.0	46.0	36
139.0	132.0	27
20.0	21.0	19
207.0	79.0	44
54.0	24.0	13
20.0	40.0	11
120.0	179.0	138
115.0	22.0	56
13.0	20.0	23
88.0	158.0	129
116.0	131.0	46
284.0	20.0	21
2.0	47.0	20
76.0	219.0	66
135.0	20.0	21
125.0	20.0	46
25.0	20.0	142
209.0	12.0	20
21.0	172.0	48
130.0	3.0	23
3.0	67.0	91
26.0	21.0	158
89.0	20.0	20
29.0	98.0	9
34.0	48.0	222
143.0	140.0	20
103.0	33.0	17
48.0	133.0	114
142.0	21.0	242
113.0	20.0	21
54.0	23.0	165
20.0	20.0	16
117.0	211.0	8
291.0	26.0	36
22.0	177.0	23
20.0	1.0	20
21.0	97.0	22
15.0	22.0	20
167.0	21.0	20
24.0	56.0	20
21.0	36.0	114
4.0	352.0	20
93.0	20.0	20
23.0	79.0	115
201.0	21.0	20
