TAA	TAG	TGA
273.0	44.0	170
13.0	135.0	3
469.0	162.0	167
80.0	540.0	236
408.0	540.0	123
48.0	16.0	10
12.0	1153.0	57
19.0	152.0	23
98.0	23.0	21
413.0	62.0	47
18.0	302.0	141
34.0	218.0	178
8.0	7.0	42
166.0	73.0	26
121.0	9.0	17
834.0	24.0	328
59.0	436.0	346
504.0	210.0	9
21.0	2.0	162
370.0	60.0	44
264.0	8.0	704
848.0	61.0	3
63.0	275.0	42
132.0	28.0	81
172.0	404.0	12
432.0	52.0	23
156.0	129.0	118
233.0	294.0	557
27.0	151.0	298
28.0	58.0	20
172.0	59.0	39
584.0	1.0	36
294.0	78.0	102
185.0	592.0	217
697.0	15.0	14
15.0	716.0	17
104.0	64.0	17
25.0	62.0	24
408.0	622.0	358
527.0	622.0	117
240.0	17.0	64
25.0	114.0	657
145.0	14.0	677
34.0	1.0	270
13.0	386.0	2
284.0	8.0	120
5.0	94.0	760
329.0	79.0	97
184.0	4.0	163
65.0	30.0	140
233.0	276.0	302
275.0	29.0	97
80.0	31.0	20
203.0	56.0	1
15.0	25.0	95
204.0	28.0	25
69.0	11.0	159
313.0	528.0	16
45.0	39.0	465
122.0	427.0	58
125.0	13.0	136
19.0	5.0	47
33.0	269.0	1
213.0	71.0	130
236.0	63.0	1723
387.0	77.0	115
743.0	342.0	171
258.0	193.0	14
236.0	30.0	15
418.0	56.0	156
62.0	44.0	13
14.0	3.0	158
88.0	104.0	202
11.0	74.0	131
104.0	22.0	7
8.0	443.0	189
645.0	37.0	323
700.0	26.0	345
91.0	125.0	151
46.0	207.0	518
206.0	6.0	104
14.0	107.0	14
1.0	20.0	63
31.0	20.0	1541
497.0	33.0	3
104.0	9.0	540
74.0	38.0	38
78.0	404.0	3
16.0	18.0	6
105.0	11.0	3
42.0	14.0	12
149.0	20.0	331
34.0	253.0	150
588.0	679.0	58
588.0	60.0	8
349.0	108.0	26
26.0	83.0	253
51.0	104.0	20
271.0	395.0	538
92.0	74.0	184
773.0	89.0	14
10.0	153.0	302
709.0	542.0	17
331.0	26.0	65
51.0	15.0	7
27.0	65.0	241
292.0	38.0	20
35.0	15.0	1
596.0	95.0	3
31.0	48.0	6
51.0	23.0	10
62.0	38.0	1058
252.0	211.0	2
126.0	544.0	46
16.0	56.0	208
17.0	26.0	99
440.0	24.0	48
160.0	13.0	41
6.0	38.0	25
15.0	102.0	7
77.0	179.0	59
144.0	179.0	38
10.0	12.0	121
776.0	316.0	181
94.0	208.0	181
204.0	317.0	264
16.0	83.0	44
127.0	6.0	51
104.0	89.0	288
146.0	63.0	7
77.0	30.0	1
13.0	22.0	13
45.0	24.0	348
5.0	12.0	39
205.0	6.0	12
414.0	753.0	2
15.0	14.0	141
8.0	59.0	115
172.0	12.0	56
163.0	28.0	1
424.0	30.0	734
1194.0	17.0	44
45.0	119.0	157
92.0	24.0	563
11.0	51.0	253
12.0	48.0	14
134.0	299.0	148
78.0	107.0	890
120.0	267.0	58
54.0	353.0	172
73.0	91.0	133
19.0	89.0	428
12.0	9.0	84
39.0	305.0	343
265.0	16.0	32
19.0	173.0	6
19.0	199.0	172
63.0	7.0	32
1058.0	17.0	73
271.0	29.0	20
31.0	9.0	11
14.0	76.0	72
325.0	27.0	37
10.0	55.0	196
14.0	1064.0	6
286.0	6.0	243
103.0	3.0	227
37.0	14.0	30
68.0	44.0	99
58.0	448.0	48
47.0	126.0	76
15.0	45.0	11
146.0	10.0	19
458.0	44.0	72
527.0	94.0	36
104.0	13.0	52
66.0	15.0	64
31.0	54.0	11
5.0	163.0	1
33.0	13.0	136
1.0	755.0	10
30.0	12.0	80
434.0	190.0	1
32.0	33.0	53
