TAA	TAG	TGA
21.0	5.0	60
58.0	29.0	46
151.0	29.0	94
78.0	836.0	14
22.0	16.0	21
6.0	111.0	63
71.0	29.0	286
52.0	285.0	98
67.0	21.0	50
98.0	27.0	137
45.0	207.0	86
114.0	92.0	538
7.0	33.0	79
7.0	11.0	1
16.0	18.0	17
477.0	26.0	58
36.0	18.0	138
56.0	18.0	6
19.0	65.0	14
120.0	1108.0	10
23.0	29.0	20
88.0	102.0	41
11.0	36.0	80
8.0	36.0	57
1293.0	79.0	23
5.0	7.0	61
30.0	24.0	52
147.0	396.0	4
16.0	37.0	152
110.0	12.0	102
64.0	11.0	154
174.0	23.0	73
941.0	6.0	32
148.0	153.0	81
65.0	29.0	171
119.0	18.0	116
8.0	19.0	98
91.0	22.0	40
93.0	5.0	18
445.0	10.0	26
35.0	823.0	133
325.0	16.0	30
122.0	12.0	67
28.0	32.0	369
23.0	245.0	1026
65.0	38.0	826
4.0	37.0	26
11.0	38.0	59
92.0	119.0	36
187.0	59.0	45
44.0	17.0	58
230.0	12.0	212
309.0	31.0	16
18.0	21.0	67
48.0	78.0	71
34.0	68.0	214
47.0	13.0	676
219.0	12.0	50
28.0	344.0	115
161.0	33.0	71
38.0	120.0	27
5.0	86.0	110
37.0	18.0	13
32.0	18.0	43
156.0	15.0	23
544.0	161.0	35
41.0	46.0	51
86.0	17.0	39
22.0	124.0	74
3.0	19.0	18
109.0	6.0	60
122.0	63.0	37
52.0	239.0	22
57.0	46.0	140
62.0	29.0	25
385.0	12.0	42
26.0	106.0	937
17.0	19.0	34
36.0	39.0	72
24.0	1.0	15
24.0	628.0	21
110.0	3.0	107
105.0	493.0	75
38.0	18.0	505
13.0	6.0	14
8.0	666.0	234
95.0	47.0	85
93.0	22.0	840
73.0	682.0	98
117.0	133.0	557
111.0	21.0	431
56.0	32.0	42
78.0	58.0	14
34.0	72.0	66
101.0	26.0	3
1.0	75.0	33
153.0	57.0	102
182.0	562.0	44
606.0	87.0	379
57.0	31.0	150
1060.0	135.0	3
150.0	815.0	149
570.0	283.0	66
5.0	96.0	232
52.0	51.0	18
5.0	6.0	401
3.0	134.0	60
74.0	19.0	674
102.0	13.0	63
62.0	39.0	832
93.0	839.0	38
151.0	374.0	1091
102.0	30.0	83
68.0	26.0	72
192.0	42.0	18
8.0	3.0	717
63.0	81.0	109
102.0	10.0	290
92.0	55.0	282
50.0	363.0	4
7.0	30.0	25
109.0	58.0	125
14.0	6.0	794
22.0	54.0	359
114.0	555.0	36
104.0	2.0	8
42.0	43.0	45
61.0	9.0	56
28.0	8.0	99
50.0	10.0	96
160.0	15.0	966
33.0	18.0	117
53.0	369.0	119
18.0	58.0	211
8.0	18.0	63
1000.0	75.0	15
84.0	20.0	69
181.0	9.0	122
35.0	411.0	127
82.0	45.0	24
25.0	29.0	38
98.0	329.0	161
279.0	54.0	51
67.0	1052.0	80
278.0	7.0	83
99.0	496.0	61
19.0	39.0	129
90.0	3.0	105
32.0	25.0	158
138.0	25.0	722
192.0	13.0	94
40.0	24.0	15
23.0	34.0	78
44.0	82.0	66
136.0	40.0	7
478.0	10.0	32
267.0	359.0	137
308.0	24.0	24
89.0	32.0	44
35.0	10.0	35
42.0	101.0	88
1635.0	15.0	41
385.0	22.0	93
78.0	25.0	41
172.0	5.0	17
15.0	29.0	122
601.0	82.0	52
76.0	8.0	347
54.0	56.0	64
248.0	37.0	16
1.0	68.0	249
17.0	52.0	108
43.0	136.0	14
11.0	17.0	61
27.0	32.0	49
102.0	39.0	2
596.0	238.0	30
1.0	12.0	12
126.0	55.0	122
858.0	17.0	49
86.0	195.0	4
88.0	37.0	49
24.0	50.0	390
156.0	7.0	7
55.0	30.0	19
120.0	30.0	36
61.0	8.0	225
39.0	42.0	45
587.0	141.0	168
13.0	121.0	68
12.0	111.0	908
175.0	50.0	160
134.0	64.0	1000
780.0	1045.0	35
1.0	1045.0	46
127.0	130.0	76
26.0	56.0	56
179.0	70.0	23
59.0	41.0	115
222.0	20.0	213
58.0	772.0	58
140.0	46.0	114
32.0	15.0	105
1685.0	41.0	156
84.0	7.0	126
118.0	70.0	56
35.0	14.0	305
22.0	610.0	885
217.0	55.0	40
21.0	80.0	72
52.0	42.0	126
177.0	39.0	27
126.0	182.0	133
208.0	8.0	41
3.0	106.0	58
58.0	30.0	50
69.0	1087.0	8
77.0	35.0	35
13.0	11.0	2
148.0	647.0	34
215.0	33.0	103
164.0	199.0	1
123.0	97.0	68
82.0	52.0	827
19.0	10.0	215
43.0	38.0	10
42.0	46.0	68
13.0	16.0	42
143.0	14.0	51
211.0	3.0	23
11.0	11.0	22
239.0	3.0	192
12.0	17.0	73
29.0	21.0	82
104.0	504.0	87
2.0	105.0	21
29.0	72.0	52
109.0	93.0	37
152.0	290.0	20
25.0	84.0	25
9.0	37.0	1
240.0	52.0	79
17.0	870.0	16
21.0	5.0	45
61.0	6.0	64
653.0	69.0	24
