ENSOCUT00000058095	ENSOCUG00000024102
ENSOCUT00000052464	ENSOCUG00000010695
ENSOCUT00000059964	ENSOCUG00000003380
ENSOCUT00000059291	ENSOCUG00000013415
ENSOCUT00000043645	ENSOCUG00000003448
ENSOCUT00000043874	ENSOCUG00000001048
ENSOCUT00000055496	ENSOCUG00000008556
ENSOCUT00000042610	ENSOCUG00000004742
ENSOCUT00000046963	ENSOCUG00000004334
ENSOCUT00000053550	ENSOCUG00000017341
ENSOCUT00000037262	ENSOCUG00000009083
ENSOCUT00000003618	ENSOCUG00000003615
ENSOCUT00000009664	ENSOCUG00000009662
ENSOCUT00000003925	ENSOCUG00000003925
ENSOCUT00000050244	ENSOCUG00000023222
ENSOCUT00000047820	ENSOCUG00000004466
ENSOCUT00000038165	ENSOCUG00000015680
ENSOCUT00000052349	ENSOCUG00000016518
ENSOCUT00000034613	ENSOCUG00000010730
ENSOCUT00000048765	ENSOCUG00000010049
ENSOCUT00000036158	ENSOCUG00000008419
ENSOCUT00000039050	ENSOCUG00000013815
ENSOCUT00000051544	ENSOCUG00000013596
ENSOCUT00000034966	ENSOCUG00000012886
ENSOCUT00000009760	ENSOCUG00000009757
ENSOCUT00000001562	ENSOCUG00000001560
ENSOCUT00000049366	ENSOCUG00000012335
ENSOCUT00000039272	ENSOCUG00000000116
ENSOCUT00000036864	ENSOCUG00000002402
ENSOCUT00000017201	ENSOCUG00000017200
ENSOCUT00000038940	ENSOCUG00000035409
ENSOCUT00000043440	ENSOCUG00000005016
ENSOCUT00000058880	ENSOCUG00000000901
ENSOCUT00000004073	ENSOCUG00000004071
ENSOCUT00000051128	ENSOCUG00000011431
ENSOCUT00000011471	ENSOCUG00000011472
ENSOCUT00000004354	ENSOCUG00000004347
ENSOCUT00000048263	ENSOCUG00000014021
ENSOCUT00000002993	ENSOCUG00000002993
ENSOCUT00000017732	ENSOCUG00000017729
ENSOCUT00000001539	ENSOCUG00000001540
ENSOCUT00000031357	ENSOCUG00000026374
ENSOCUT00000058058	ENSOCUG00000032386
ENSOCUT00000041301	ENSOCUG00000005558
ENSOCUT00000006393	ENSOCUG00000006393
ENSOCUT00000038488	ENSOCUG00000012868
ENSOCUT00000029196	ENSOCUG00000022129
ENSOCUT00000063674	ENSOCUG00000006052
ENSOCUT00000024215	ENSOCUG00000012863
ENSOCUT00000034565	ENSOCUG00000012120
ENSOCUT00000025881	ENSOCUG00000009225
ENSOCUT00000006249	ENSOCUG00000006243
ENSOCUT00000015107	ENSOCUG00000015080
ENSOCUT00000033352	ENSOCUG00000004610
ENSOCUT00000050289	ENSOCUG00000007274
ENSOCUT00000023240	ENSOCUG00000017440
ENSOCUT00000007010	ENSOCUG00000007011
ENSOCUT00000033303	ENSOCUG00000003211
ENSOCUT00000038586	ENSOCUG00000000789
ENSOCUT00000016995	ENSOCUG00000016994
ENSOCUT00000040079	ENSOCUG00000005923
ENSOCUT00000061180	ENSOCUG00000007885
ENSOCUT00000017708	ENSOCUG00000017708
ENSOCUT00000024054	ENSOCUG00000008926
ENSOCUT00000038118	ENSOCUG00000028100
ENSOCUT00000042296	ENSOCUG00000014567
ENSOCUT00000044368	ENSOCUG00000004524
ENSOCUT00000041771	ENSOCUG00000003703
ENSOCUT00000013120	ENSOCUG00000013123
ENSOCUT00000053431	ENSOCUG00000000341
ENSOCUT00000042370	ENSOCUG00000009971
ENSOCUT00000049150	ENSOCUG00000024714
ENSOCUT00000026550	ENSOCUG00000005032
ENSOCUT00000047421	ENSOCUG00000006635
ENSOCUT00000039832	ENSOCUG00000014969
ENSOCUT00000034341	ENSOCUG00000008568
ENSOCUT00000007442	ENSOCUG00000007440
ENSOCUT00000007941	ENSOCUG00000007941
ENSOCUT00000004299	ENSOCUG00000004302
ENSOCUT00000035533	ENSOCUG00000002304
ENSOCUT00000039534	ENSOCUG00000016394
ENSOCUT00000054315	ENSOCUG00000005128
ENSOCUT00000052677	ENSOCUG00000024028
ENSOCUT00000053736	ENSOCUG00000021947
ENSOCUT00000050176	ENSOCUG00000009543
ENSOCUT00000050564	ENSOCUG00000004746
ENSOCUT00000062813	ENSOCUG00000024473
ENSOCUT00000044510	ENSOCUG00000009628
ENSOCUT00000029158	ENSOCUG00000005859
ENSOCUT00000010703	ENSOCUG00000010702
ENSOCUT00000061265	ENSOCUG00000003371
ENSOCUT00000062979	ENSOCUG00000015789
ENSOCUT00000064401	ENSOCUG00000009527
ENSOCUT00000029537	ENSOCUG00000022579
ENSOCUT00000010753	ENSOCUG00000010759
ENSOCUT00000044562	ENSOCUG00000011238
ENSOCUT00000011902	ENSOCUG00000011903
ENSOCUT00000051453	ENSOCUG00000011759
ENSOCUT00000038649	ENSOCUG00000005799
ENSOCUT00000033534	ENSOCUG00000005356
ENSOCUT00000064054	ENSOCUG00000009876
ENSOCUT00000000974	ENSOCUG00000000972
ENSOCUT00000041675	ENSOCUG00000010785
ENSOCUT00000036400	ENSOCUG00000007932
ENSOCUT00000058444	ENSOCUG00000029678
ENSOCUT00000015383	ENSOCUG00000015389
ENSOCUT00000029666	ENSOCUG00000022945
ENSOCUT00000035739	ENSOCUG00000007283
ENSOCUT00000034383	ENSOCUG00000000847
ENSOCUT00000016994	ENSOCUG00000016999
ENSOCUT00000048937	ENSOCUG00000002554
