SAMPID	SMTS	SMTSD
GTEX-1117F-0011-R11b-SM-GIN8R	Brain	Brain - Cerebellar Hemisphere
GTEX-1117F-0011-R2b-SM-GI4VL	Brain	Brain - Substantia nigra
GTEX-1117F-0011-R3a-SM-GJ3PJ	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-1117F-0011-R4b-SM-GI4VM	Brain	Brain - Amygdala
GTEX-1117F-0011-R5a-SM-GI4VW	Brain	Brain - Caudate (basal ganglia)
GTEX-1117F-0011-R6a-SM-GI4VX	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-1117F-0011-R7a-SM-H65ZK	Brain	Brain - Putamen (basal ganglia)
GTEX-1117F-0226-SM-5GZZ7	Adipose Tissue	Adipose - Subcutaneous
GTEX-1117F-0426-SM-5EGHI	Muscle	Muscle - Skeletal
GTEX-1117F-0526-SM-5EGHJ	Blood Vessel	Artery - Tibial
GTEX-1117F-0626-SM-5N9CS	Blood Vessel	Artery - Coronary
GTEX-1117F-0726-SM-5GIEN	Heart	Heart - Atrial Appendage
GTEX-1117F-1426-SM-H65ZH	Thyroid	Thyroid
GTEX-1117F-2126-SM-GIN9G	Kidney	Kidney - Cortex
GTEX-1117F-2426-SM-5EGGH	Uterus	Uterus
GTEX-1117F-2526-SM-5GZY6	Vagina	Vagina
GTEX-1117F-2826-SM-5GZXL	Breast	Breast - Mammary Tissue
GTEX-1117F-2926-SM-5GZYI	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-1117F-3026-SM-5GZYU	Salivary Gland	Minor Salivary Gland
GTEX-1117F-3226-SM-5N9CT	Brain	Brain - Cortex
GTEX-111CU-0002-SM-HTQ8G	Blood	Cells - EBV-transformed lymphocytes
GTEX-111CU-0005-SM-GJ3PH	Blood	Whole Blood
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	Adrenal Gland
GTEX-111CU-0226-SM-5GZXC	Thyroid	Thyroid
GTEX-111CU-0326-SM-5GZXO	Lung	Lung
GTEX-111CU-0426-SM-5GZY1	Spleen	Spleen
GTEX-111CU-0526-SM-5EGHK	Pancreas	Pancreas
GTEX-111CU-0626-SM-5EGHL	Esophagus	Esophagus - Muscularis
GTEX-111CU-0726-SM-5GZYD	Esophagus	Esophagus - Mucosa
GTEX-111CU-0826-SM-5EGIJ	Esophagus	Esophagus - Gastroesophageal Junction
GTEX-111CU-0926-SM-5EGIK	Stomach	Stomach
GTEX-111CU-1026-SM-5EGIL	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-111CU-1126-SM-5EGIM	Skin	Skin - Not Sun Exposed (Suprapubic)
GTEX-111CU-1226-SM-5EGIN	Colon	Colon - Sigmoid
GTEX-111CU-1326-SM-5NQ8L	Small Intestine	Small Intestine - Terminal Ileum
GTEX-111CU-1426-SM-5GZYP	Colon	Colon - Transverse
GTEX-111CU-1526-SM-5N9FS	Prostate	Prostate
GTEX-111CU-1726-SM-5EGHM	Testis	Testis
GTEX-111CU-1826-SM-5GZYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-111CU-1926-SM-5GZYZ	Skin	Skin - Sun Exposed (Lower leg)
GTEX-111CU-2026-SM-5GZZC	Muscle	Muscle - Skeletal
GTEX-111CU-2226-SM-5N9G5	Nerve	Nerve - Tibial
GTEX-111FC-0006-SM-H65Z1	Blood	Whole Blood
GTEX-111FC-0011-R10a-SM-GIN8G	Brain	Brain - Frontal Cortex (BA9)
GTEX-111FC-0011-R11a-SM-H65Z8	Brain	Brain - Cerebellar Hemisphere
GTEX-111FC-0011-R2a-SM-GIN8S	Brain	Brain - Substantia nigra
GTEX-111FC-0011-R3b-SM-GJ3PN	Brain	Brain - Anterior cingulate cortex (BA24)
GTEX-111FC-0011-R4a-SM-GIN8K	Brain	Brain - Amygdala
GTEX-111FC-0011-R5a-SM-GIN8L	Brain	Brain - Caudate (basal ganglia)
GTEX-111FC-0011-R6b-SM-GIN8M	Brain	Brain - Nucleus accumbens (basal ganglia)
GTEX-111FC-0011-R7a-SM-GIN8V	Brain	Brain - Putamen (basal ganglia)
GTEX-111FC-0011-R8b-SM-GI4VS	Brain	Brain - Hypothalamus
