ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022626	cytosolic ribosome	57/5228	111/17442	1.882040615252238e-6	0.0014040022989781696	0.001073753698386014	RPS20/RPL18/RPS19/RPS13/RPS12/RPS15/RPL27/RPL8/RPL21/RPS3A/RPLP2/RPL10A/RPS2/RPS10/RPL35/RPL15/RPLP1/RPS24/RPL12/RPL11/RACK1/RPS6/LTN1/RPL24/RPL23/RPL36/RPL34/RPL32/RPS27A/RPS7/RPL31/RPL35A/RPS18/RPL37A/EIF2A/RPL13A/RPL36A/RPL29/ABCE1/RPS23/RPL27A/FAU/RPS3/RPS25/RNF10/RPL28/RPS15A/RPL13/RPL17/RPL26/RPL38/UBA52/RPS5/RPS16/RPS28/RPL19/RPSA	57
GO:0030055	cell-substrate junction	168/5228	420/17442	5.975753779334613e-6	0.0016006052400854317	0.0012241118105352112	RPL18/PVR/RPS19/RPS13/PTK7/RPS15/AKAP12/RPL27/PALLD/RPL8/HCK/ITGA6/ABCB4/RPS3A/SORBS1/CD44/ALCAM/ITGA3/RPLP2/RPL10A/MAPK3/MPRIP/RPS2/RPS10/B2M/PARVG/RPLP1/CD46/CASS4/DST/RPL12/NCSTN/AIF1L/NRP1/SMPX/ACTN4/CAV1/GRB7/RPL23/GSN/CTNNB1/MYH9/RPS7/XIRP2/RPL31/PDCD6IP/TRIOBP/LIMS2/DPP4/ARPC2/PPP1CB/ARHGAP26/FLNA/FAP/ACTB/CDH13/ITGA5/ZYX/PRKAR2A/RPS18/RPL37A/ARPC1B/TSPAN9/SDCBP/RHOA/PIP5K1A/PDIA3/ARHGAP22/STX16/ALKBH6/RPL13A/FLNB/ASAP3/USP33/ADAM9/LMLN/COL17A1/SORBS2/ITGBL1/SH3KBP1/YWHAE/NFASC/GAK/ANXA5/IRF2/FAT1/ACTN3/ERBIN/DCTN4/PTK2/PABPC1/ADGRB1/PTPN12/TSPAN4/SNTB2/RPS3/LAYN/PPFIA1/CSRP1/CD81/RDX/NOX4/ARL2/HYOU1/RRAS2/FERMT1/CORO1B/TRPV4/REXO2/PPP1R12A/CSRP2/PXN/AVIL/PCBP2/SENP1/LIMA1/SYNE2/EVL/NUMB/ZFYVE21/CIB2/KIF23/CHP1/SNAP23/TGFB1I1/ATP6V0C/ITGB3/ITGB4/THY1/RPL38/MRC2/VASP/TLE2/TPM4/FLOT2/DNM2/RPS5/RPS16/FOCAD/BSG/TEK/CD99/VCL/FHL1/IQGAP1/CBL/DOCK7/SCARB2/CASK/SNTB1/SSH2/CD59/HSPB1/G3BP1/RPL19/NPM1/P4HB/PIP5K1C/PPIB/DMD/HSP90B1/ACTN1/MAP2K1/LIMS1/ARHGEF2/ITGAV/FERMT3/JAK1	168
GO:0120111	neuron projection cytoplasm	46/5228	88/17442	9.794911314195545e-6	0.0016006052400854317	0.0012241118105352112	CALY/FBXW11/KIF5A/KIF5B/MAPT/DST/GRIK2/TRAK1/AP3S2/ARL8B/FMR1/HNRNPU/HDAC6/AP3S1/DTNBP1/UCHL1/STAU2/DLG2/SYBU/AP3B2/MAP2K4/ACTR10/BLOC1S1/BLOC1S6/MAPK8IP3/BAIAP2/ABHD12/NETO1/NDEL1/FLOT2/BLOC1S3/AP3D1/RAB27B/CHRNA2/SPG7/SPAST/OPA1/DLG4/ZC3H14/PQBP1/HSPB1/KIF5C/LRRK2/DYNC1H1/AP3B1/KIF1B	46
GO:0005774	vacuolar membrane	182/5228	464/17442	1.0235659254191473e-5	0.0016006052400854317	0.0012241118105352112	STARD3NL/CEACAM8/RAP1B/BST2/CLEC16A/ECE1/ATP6V0E1/TRIM23/KIF5B/ATP6V1G3/TLR8/ZNRF2/ATP13A2/HLA-DQA1/B2M/NCSTN/SNX14/GNAI3/HLA-DQA1/HLA-DRA/SLC15A4/GFAP/SLC36A3/CD74/TM6SF1/ATG16L1/TOM1/SLC22A17/CLCN6/SYNGR1/AP1S3/SLC3A1/AP2M1/CCZ1B/DPP4/ATG4B/ATP11A/ABCA13/ABCB6/NPRL2/HLA-DPA1/SLC39A8/ATP6V0E2/SPHK2/ATP6V0D1/HPS4/SLC36A1/ATP6AP1/AP5M1/ATG16L2/TMBIM1/VPS41/CPNE1/ATP6AP2/AP1G1/ATP11C/AP1S2/DAGLB/ARL8B/STK11IP/VAMP7/ATP6V0B/BORCS8/NSF/HLA-F/ATP11B/VPS13A/SLC66A1/ABCD4/DEPDC5/ABCA2/MFSD1/SLC11A1/WDR81/SLC37A3/RHEB/CP/CLCN5/SH3GLB1/TSC2/PLD3/HLA-DOB/PRKD1/RAB7A/DRAM2/WDR41/EGF/ATP8A1/TLR3/TMEM175/HPSE/TMEM138/DNAJC13/CALCOCO2/ENPP1/RB1CC1/PIP4P2/CHMP7/ATP6V1H/HGSNAT/IRGM/STX17/TM9SF1/ARRB1/TCIRG1/NEU3/RAB2A/GABARAPL1/CYB561A3/ITFG2/P2RX4/SLC11A2/CD63/BLOC1S1/RNASEK/PSEN1/ATP6V1D/ZFYVE26/TMEM199/IRAG2/ATXN3/VTI1B/ANXA2/LDLR/ANPEP/CLN3/ATP6V0C/MAP1LC3B/CHMP6/LITAF/VPS33B/ANKFY1/NAPG/CYB561/VAPA/MFSD12/PLEKHM1/NPC1/SPPL2B/GNA11/RMC1/ATP6V0A1/AP3D1/AP1M1/ABCA5/AP1M2/UBA52/KXD1/AP2A1/TBC1D7/NPRL3/CCZ1/TPCN2/CLN5/LITAFD/SCARB2/SZT2/MFSD8/TSC1/MANBA/AP1S1/CFTR/LMBRD1/GNAI1/VPS13C/MYO6/PCSK9/CLCN4/CHMP1A/SBF2/CTSA/PSEN2/IFITM2/SLC15A3/IFITM3/PRCP/OCLN/VPS13B/SPG11/AP3B1/PLA2G4E/HLA-DRB1	182
GO:0022627	cytosolic small ribosomal subunit	25/5228	39/17442	1.0727917158749544e-5	0.0016006052400854317	0.0012241118105352112	RPS20/RPS19/RPS13/RPS12/RPS15/RPS3A/RPS2/RPS10/RPS24/RACK1/RPS6/RPS27A/RPS7/RPS18/EIF2A/RPS23/FAU/RPS3/RPS25/RPS15A/UBA52/RPS5/RPS16/RPS28/RPSA	25
GO:0005925	focal adhesion	162/5228	410/17442	1.9333351774254822e-5	0.001911937941576498	0.0014622130158522112	RPL18/PVR/RPS19/RPS13/PTK7/RPS15/AKAP12/RPL27/PALLD/RPL8/HCK/ITGA6/ABCB4/RPS3A/SORBS1/CD44/ALCAM/ITGA3/RPLP2/RPL10A/MAPK3/MPRIP/RPS2/RPS10/B2M/PARVG/RPLP1/CD46/CASS4/DST/RPL12/NCSTN/AIF1L/NRP1/ACTN4/CAV1/GRB7/RPL23/GSN/CTNNB1/MYH9/RPS7/XIRP2/RPL31/PDCD6IP/TRIOBP/LIMS2/DPP4/ARPC2/PPP1CB/ARHGAP26/FLNA/FAP/ACTB/CDH13/ITGA5/ZYX/PRKAR2A/RPS18/RPL37A/ARPC1B/TSPAN9/SDCBP/RHOA/PIP5K1A/PDIA3/ARHGAP22/STX16/ALKBH6/RPL13A/FLNB/ASAP3/USP33/ADAM9/LMLN/SORBS2/ITGBL1/SH3KBP1/YWHAE/NFASC/GAK/ANXA5/IRF2/FAT1/ACTN3/DCTN4/PTK2/PABPC1/ADGRB1/PTPN12/TSPAN4/SNTB2/RPS3/LAYN/PPFIA1/CSRP1/CD81/RDX/NOX4/ARL2/HYOU1/RRAS2/FERMT1/CORO1B/TRPV4/REXO2/PPP1R12A/CSRP2/PXN/AVIL/PCBP2/SENP1/LIMA1/SYNE2/EVL/NUMB/ZFYVE21/KIF23/CHP1/SNAP23/TGFB1I1/ATP6V0C/ITGB3/ITGB4/THY1/RPL38/MRC2/VASP/TLE2/TPM4/FLOT2/DNM2/RPS5/RPS16/FOCAD/BSG/TEK/CD99/VCL/FHL1/IQGAP1/CBL/DOCK7/SCARB2/CASK/SNTB1/SSH2/CD59/HSPB1/G3BP1/RPL19/NPM1/P4HB/PIP5K1C/PPIB/HSP90B1/ACTN1/MAP2K1/LIMS1/ARHGEF2/ITGAV/JAK1	162
GO:0005765	lysosomal membrane	166/5228	422/17442	2.050335594183912e-5	0.001911937941576498	0.0014622130158522112	STARD3NL/CEACAM8/RAP1B/BST2/CLEC16A/ECE1/ATP6V0E1/TRIM23/KIF5B/TLR8/ZNRF2/ATP13A2/HLA-DQA1/B2M/NCSTN/SNX14/GNAI3/HLA-DQA1/HLA-DRA/SLC15A4/GFAP/CD74/TM6SF1/ATG16L1/TOM1/CLCN6/SYNGR1/AP1S3/AP2M1/CCZ1B/DPP4/ATP11A/ABCA13/ABCB6/NPRL2/HLA-DPA1/SLC39A8/ATP6V0E2/SPHK2/ATP6V0D1/HPS4/SLC36A1/ATP6AP1/AP5M1/TMBIM1/VPS41/CPNE1/ATP6AP2/AP1G1/ATP11C/AP1S2/DAGLB/ARL8B/STK11IP/VAMP7/ATP6V0B/BORCS8/NSF/HLA-F/ATP11B/VPS13A/SLC66A1/ABCD4/DEPDC5/ABCA2/MFSD1/SLC11A1/WDR81/SLC37A3/RHEB/CP/CLCN5/TSC2/PLD3/HLA-DOB/RAB7A/DRAM2/WDR41/EGF/ATP8A1/TLR3/TMEM175/HPSE/DNAJC13/ENPP1/PIP4P2/CHMP7/ATP6V1H/HGSNAT/IRGM/TM9SF1/ARRB1/TCIRG1/NEU3/RAB2A/CYB561A3/ITFG2/P2RX4/SLC11A2/CD63/BLOC1S1/RNASEK/PSEN1/ATP6V1D/ZFYVE26/IRAG2/ATXN3/VTI1B/ANXA2/LDLR/ANPEP/CLN3/ATP6V0C/CHMP6/LITAF/VPS33B/ANKFY1/NAPG/CYB561/VAPA/MFSD12/PLEKHM1/NPC1/SPPL2B/GNA11/RMC1/ATP6V0A1/AP3D1/AP1M1/ABCA5/AP1M2/UBA52/KXD1/AP2A1/TBC1D7/NPRL3/CCZ1/TPCN2/CLN5/LITAFD/SCARB2/SZT2/MFSD8/TSC1/MANBA/AP1S1/CFTR/LMBRD1/GNAI1/VPS13C/MYO6/PCSK9/CLCN4/CHMP1A/CTSA/PSEN2/IFITM2/SLC15A3/IFITM3/PRCP/OCLN/VPS13B/SPG11/AP3B1/PLA2G4E/HLA-DRB1	166
GO:0098852	lytic vacuole membrane	166/5228	422/17442	2.050335594183912e-5	0.001911937941576498	0.0014622130158522112	STARD3NL/CEACAM8/RAP1B/BST2/CLEC16A/ECE1/ATP6V0E1/TRIM23/KIF5B/TLR8/ZNRF2/ATP13A2/HLA-DQA1/B2M/NCSTN/SNX14/GNAI3/HLA-DQA1/HLA-DRA/SLC15A4/GFAP/CD74/TM6SF1/ATG16L1/TOM1/CLCN6/SYNGR1/AP1S3/AP2M1/CCZ1B/DPP4/ATP11A/ABCA13/ABCB6/NPRL2/HLA-DPA1/SLC39A8/ATP6V0E2/SPHK2/ATP6V0D1/HPS4/SLC36A1/ATP6AP1/AP5M1/TMBIM1/VPS41/CPNE1/ATP6AP2/AP1G1/ATP11C/AP1S2/DAGLB/ARL8B/STK11IP/VAMP7/ATP6V0B/BORCS8/NSF/HLA-F/ATP11B/VPS13A/SLC66A1/ABCD4/DEPDC5/ABCA2/MFSD1/SLC11A1/WDR81/SLC37A3/RHEB/CP/CLCN5/TSC2/PLD3/HLA-DOB/RAB7A/DRAM2/WDR41/EGF/ATP8A1/TLR3/TMEM175/HPSE/DNAJC13/ENPP1/PIP4P2/CHMP7/ATP6V1H/HGSNAT/IRGM/TM9SF1/ARRB1/TCIRG1/NEU3/RAB2A/CYB561A3/ITFG2/P2RX4/SLC11A2/CD63/BLOC1S1/RNASEK/PSEN1/ATP6V1D/ZFYVE26/IRAG2/ATXN3/VTI1B/ANXA2/LDLR/ANPEP/CLN3/ATP6V0C/CHMP6/LITAF/VPS33B/ANKFY1/NAPG/CYB561/VAPA/MFSD12/PLEKHM1/NPC1/SPPL2B/GNA11/RMC1/ATP6V0A1/AP3D1/AP1M1/ABCA5/AP1M2/UBA52/KXD1/AP2A1/TBC1D7/NPRL3/CCZ1/TPCN2/CLN5/LITAFD/SCARB2/SZT2/MFSD8/TSC1/MANBA/AP1S1/CFTR/LMBRD1/GNAI1/VPS13C/MYO6/PCSK9/CLCN4/CHMP1A/CTSA/PSEN2/IFITM2/SLC15A3/IFITM3/PRCP/OCLN/VPS13B/SPG11/AP3B1/PLA2G4E/HLA-DRB1	166
GO:0031252	cell leading edge	163/5228	417/17442	3.604727345228618e-5	0.0026516812225850827	0.0020279543144364545	ABI2/PALLD/ARHGAP44/CCDC88A/CD44/PTPRO/TPM1/ANK1/PLA2G4F/KCNC2/AKT2/STX4/AKAP5/MAPT/STX3/STX2/KITLG/ATP2B2/DST/RAB3IP/CDC42BPA/PLEKHA1/PLCE1/AIF1L/FGD2/KCNC3/PLEKHG5/SNX1/ITSN1/GSN/FGD4/CTNNB1/NF2/MYH9/PSD4/DPP4/ARPC2/MTMR14/SH3BP1/PIEZO1/RASGRP2/CDH1/FAP/TRPV1/SGCE/ACTB/DBNL/SH3YL1/ITGA5/ALS2/ABLIM1/SLC39A6/LDB2/ERBB2/INPP5K/ATP6AP2/ACAP2/HAX1/GRIA1/KNSTRN/AMPH/FGD6/RHOA/PIP5K1A/TIAM1/VAMP7/MYLK/CLRN1/DOCK8/TESC/EPS8L3/ROBO2/ASAP3/SORBS2/PLEKHH2/GABBR1/RAPGEF3/ARHGEF26/HDAC6/PKD2/GABRA4/RUFY3/PLXND1/PDPN/FAT1/APBB2/CLRN2/SNX2/GABRA2/ABLIM3/SNTG1/PSD3/PABPC1/DPYSL3/RNH1/DGKZ/RPS3/LAYN/SWAP70/RDX/EPS8L2/ABCA7/MTMR9/PTPRK/FERMT1/MEFV/CORO1B/TRPV4/SLC12A5/DAGLA/DDX3X/EPS8/APPL2/VEZT/PXN/AVIL/LIMA1/SYNE2/TUBB3/EVL/PLEK2/PSTPIP1/DUOX1/PLCG2/TMEM87A/ITGB3/BAIAP2/ITGB4/THY1/NDEL1/VASP/FLOT2/BCAS3/PDE4A/ADGRE2/MYO9B/CARMIL2/DUSP22/PLCG1/SH2B2/IQGAP1/CHRNA7/KCNB1/GABRG2/ADGRV1/SLC1A2/ATP7A/TSC1/DPP9/MYO6/CAPZB/GBF1/P4HB/SNX9/PIP5K1C/OCLN/ACTN1/CTNND1/MYH10/MTM1/MYO5A/ARHGEF2/ITGAV	163
GO:0005759	mitochondrial matrix	183/5228	476/17442	3.7968875788952284e-5	0.0026516812225850827	0.0020279543144364545	SCO2/GRSF1/PNPT1/LARS2/MYG1/ADHFE1/FLAD1/METTL15/PHYKPL/MRPL11/FOXO3/MRPS5/PRDX5/ETFB/ATP5F1C/MRPL42/MRPL19/SDHAF3/MTHFD1L/TARS2/TMLHE/BCKDHB/TWNK/MRPL43/NUDT13/FPGS/UQCC2/IDH3B/MRPL23/MRPL47/DHX30/DNA2/HIBCH/MPST/ACSM6/PTCD3/HSPE1/TXN2/ERAL1/ALDH7A1/NFS1/DLD/TSFM/NDUFA10/LRPPRC/MMAB/ACADM/GLS2/MTERF4/RPUSD3/ARHGAP11B/QARS1/PITRM1/ISCU/PDK1/TRNT1/SUCLG1/NME4/HAX1/OGG1/SARS2/TP53/NDUFS1/TERT/PYROXD2/MRPS2/GLDC/LYRM4/SSBP1/DARS2/GFM1/MRPL9/ATP5PB/MCCC1/DNAJC19/TRIT1/CARS2/ACP6/ALDH5A1/ABHD10/SUCLA2/ALAS1/ACOT9/MRPS22/ACSF2/CCNB1/MRPL27/ABCE1/PPM1K/PRIMPOL/PPA2/MCCC2/MRPS18C/AGXT2/ETNPPL/NMNAT3/GRPEL2/LIAS/GUF1/DGLUCY/MRPL22/DMGDH/MRPS28/LACTB2/MRPS27/GSR/PC/BCO2/RPS3/ME3/NDUFS3/NDUFS8/SIRT3/ARL2/RAD51/MRPL49/NDUFS7/PDE2A/CHPF/SDHAF2/POLG2/MRPL21/REXO2/ACSS3/CS/NUBPL/BLOC1S1/MRPL52/GSTZ1/DLST/ATXN3/PCK2/IDH3A/ETFA/GCSH/ABAT/EARS2/MLYCD/TK2/HAGH/KARS1/TUFM/ECI1/TRAP1/DNAJA3/MRM3/PAM16/FDXR/ELAC2/MRPS7/TOP3A/GLYAT/LONP1/ATP5F1A/GCDH/MRPL4/ATP5F1D/TIMM44/CLPP/POLG/AMT/PCCA/ME2/HADHA/OTC/GPX1/CA5A/MMAA/GARS1/ACO2/NDUFS2/HSPD1/NAXD/AASS/DLAT/LRRK2/SIRT5/GLUD1/ETFDH/HADH/RARS2/NARS2/MRPS25	183
