Transcript_ID	Symbol	Length
ENST00000202773	RPL6	35
ENST00000228140	RPS13	19
ENST00000230050	RPS12	22
ENST00000321153	RPLP2	40
ENST00000322203	RPL10A	30
ENST00000361436	RPL12	47
ENST00000394552	MCTS2	32
ENST00000424576	RPL6	21
ENST00000439602	RPS18	45
ENST00000474973	RPS18	44
ENST00000525634	RPS13	45
ENST00000530398	RPLP2	35
ENST00000530797	RPLP2	38
ENST00000536368	RPL12	44
ENST00000553213	RPL6	0
