Rab_Gene	Hum_Gene
ENSOCUG00000000004	ENSG00000102302
ENSOCUG00000000007	ENSG00000122694
ENSOCUG00000000010	ENSG00000159921
ENSOCUG00000000013	ENSG00000070950
ENSOCUG00000000014	ENSG00000087086
ENSOCUG00000000015	ENSG00000104812
ENSOCUG00000000018	ENSG00000184182
ENSOCUG00000000018	ENSG00000258984
ENSOCUG00000000021	ENSG00000087470
ENSOCUG00000000022	ENSG00000139131
ENSOCUG00000000023	ENSG00000057294
ENSOCUG00000000024	ENSG00000166451
ENSOCUG00000000025	ENSG00000174640
ENSOCUG00000000026	ENSG00000169297
ENSOCUG00000000030	ENSG00000119899
ENSOCUG00000000031	ENSG00000168078
ENSOCUG00000000034	ENSG00000134014
ENSOCUG00000000036	ENSG00000184530
ENSOCUG00000000038	ENSG00000164463
ENSOCUG00000000049	ENSG00000127241
ENSOCUG00000000051	ENSG00000172869
ENSOCUG00000000055	ENSG00000162148
ENSOCUG00000000060	ENSG00000196116
ENSOCUG00000000061	ENSG00000112029
ENSOCUG00000000063	ENSG00000112031
ENSOCUG00000000064	ENSG00000105993
ENSOCUG00000000068	ENSG00000070601
ENSOCUG00000000069	ENSG00000197879
ENSOCUG00000000071	ENSG00000189042
ENSOCUG00000000073	ENSG00000132376
ENSOCUG00000000074	ENSG00000164104
ENSOCUG00000000075	ENSG00000174238
ENSOCUG00000000080	ENSG00000169499
ENSOCUG00000000081	ENSG00000174231
ENSOCUG00000000083	ENSG00000169495
ENSOCUG00000000085	ENSG00000169490
ENSOCUG00000000086	ENSG00000139223
ENSOCUG00000000086	ENSG00000140350
ENSOCUG00000000090	ENSG00000167716
ENSOCUG00000000091	ENSG00000167711
ENSOCUG00000000092	ENSG00000132386
ENSOCUG00000000094	ENSG00000124212
ENSOCUG00000000097	ENSG00000133059
ENSOCUG00000000102	ENSG00000122507
ENSOCUG00000000103	ENSG00000185155
ENSOCUG00000000104	ENSG00000157554
ENSOCUG00000000105	ENSG00000100014
ENSOCUG00000000105	ENSG00000258555
ENSOCUG00000000107	ENSG00000154889
ENSOCUG00000000109	ENSG00000163638
ENSOCUG00000000111	ENSG00000169031
ENSOCUG00000000116	ENSG00000168958
ENSOCUG00000000122	ENSG00000181027
ENSOCUG00000000129	ENSG00000007392
ENSOCUG00000000137	ENSG00000163468
ENSOCUG00000000141	ENSG00000075089
ENSOCUG00000000146	ENSG00000140575
ENSOCUG00000000149	ENSG00000147065
ENSOCUG00000000156	ENSG00000115993
ENSOCUG00000000157	ENSG00000008513
ENSOCUG00000000158	ENSG00000197858
ENSOCUG00000000159	ENSG00000174136
ENSOCUG00000000162	ENSG00000184154
ENSOCUG00000000163	ENSG00000174227
ENSOCUG00000000167	ENSG00000165458
ENSOCUG00000000172	ENSG00000134215
ENSOCUG00000000173	ENSG00000143702
ENSOCUG00000000174	ENSG00000138190
ENSOCUG00000000178	ENSG00000095596
ENSOCUG00000000184	ENSG00000176771
ENSOCUG00000000185	ENSG00000177119
ENSOCUG00000000186	ENSG00000091009
ENSOCUG00000000186	ENSG00000275740
ENSOCUG00000000193	ENSG00000103426
ENSOCUG00000000193	ENSG00000262246
ENSOCUG00000000197	ENSG00000159399
ENSOCUG00000000200	ENSG00000132359
ENSOCUG00000000201	ENSG00000188517
ENSOCUG00000000206	ENSG00000163499
ENSOCUG00000000213	ENSG00000182667
ENSOCUG00000000214	ENSG00000163832
ENSOCUG00000000218	ENSG00000155100
ENSOCUG00000000220	ENSG00000139793
ENSOCUG00000000222	ENSG00000171714
ENSOCUG00000000227	ENSG00000088280
ENSOCUG00000000228	ENSG00000140403
ENSOCUG00000000229	ENSG00000197555
ENSOCUG00000000231	ENSG00000149313
ENSOCUG00000000236	ENSG00000182175
ENSOCUG00000000237	ENSG00000134253
ENSOCUG00000000239	ENSG00000151418
ENSOCUG00000000242	ENSG00000146926
ENSOCUG00000000243	ENSG00000254647
ENSOCUG00000000244	ENSG00000075240
ENSOCUG00000000245	ENSG00000033050
ENSOCUG00000000245	ENSG00000285292
ENSOCUG00000000247	ENSG00000033100
ENSOCUG00000000248	ENSG00000132388
ENSOCUG00000000249	ENSG00000082014
ENSOCUG00000000251	ENSG00000058673
ENSOCUG00000000251	ENSG00000215817
ENSOCUG00000000256	ENSG00000158079
ENSOCUG00000000258	ENSG00000282278
ENSOCUG00000000265	ENSG00000065609
ENSOCUG00000000270	ENSG00000116489
ENSOCUG00000000276	ENSG00000155363
ENSOCUG00000000277	ENSG00000155970
ENSOCUG00000000281	ENSG00000088035
ENSOCUG00000000285	ENSG00000143815
ENSOCUG00000000286	ENSG00000203965
ENSOCUG00000000289	ENSG00000126822
ENSOCUG00000000290	ENSG00000169851
ENSOCUG00000000291	ENSG00000144224
ENSOCUG00000000292	ENSG00000070182
ENSOCUG00000000293	ENSG00000115850
ENSOCUG00000000298	ENSG00000168090
ENSOCUG00000000301	ENSG00000072864
ENSOCUG00000000303	ENSG00000154415
ENSOCUG00000000304	ENSG00000221838
