Gene	Codon	Length
ENSG00000006652	UAG	8
ENSG00000009780	UGA	0
ENSG00000030304	UAA	10
ENSG00000182389	UGA	0
ENSG00000092009	UAA	10
ENSG00000102393	UAA	6
ENSG00000129292	UGA	0
ENSG00000106992	UAG	7
ENSG00000009780	UGA	0
ENSG00000158055	UAA	0
ENSG00000121314	UGA	0
ENSG00000124089	UAG	0
ENSG00000186474	UAA	0
ENSG00000182415	UAA	6
ENSG00000135407	UAA	0
ENSG00000004846	UGA	0
ENSG00000136694	UAA	0
ENSG00000069020	UAA	0
ENSG00000083750	UAA	5
ENSG00000117020	UAA	0
ENSG00000138698	UGA	0
ENSG00000139083	UGA	9
ENSG00000139354	UAA	0
ENSG00000141232	UAA	0
ENSG00000141449	UGA	0
ENSG00000141748	UGA	0
ENSG00000142224	UGA	0
ENSG00000198842	UGA	0
ENSG00000015568	UGA	0
ENSG00000144290	UGA	0
ENSG00000196932	UAA	8
ENSG00000149657	UGA	0
ENSG00000153898	UAA	0
ENSG00000155719	UGA	8
ENSG00000155918	UGA	0
ENSG00000157168	UAA	5
ENSG00000158747	UGA	0
ENSG00000223609	UGA	10
ENSG00000151577	UGA	6
ENSG00000163645	UAA	7
ENSG00000163964	UAA	0
ENSG00000131503	UAA	0
ENSG00000123453	UAG	0
ENSG00000133943	UAA	0
ENSG00000166025	UGA	0
ENSG00000170255	UGA	3
ENSG00000171804	UAA	0
ENSG00000171772	UGA	0
ENSG00000171489	UGA	0
ENSG00000168124	UGA	3
ENSG00000171459	UAA	0
ENSG00000187605	UAG	0
ENSG00000168273	UGA	6
ENSG00000130414	UGA	0
ENSG00000168447	UAA	0
ENSG00000163297	UGA	0
ENSG00000173120	UAA	7
ENSG00000171695	UAA	5
ENSG00000173898	UAG	0
ENSG00000029153	UAG	1
ENSG00000120029	UAA	7
ENSG00000174844	UAA	0
ENSG00000124222	UAG	0
ENSG00000165164	UGA	0
ENSG00000178460	UAA	8
ENSG00000181903	UAA	0
ENSG00000137154	UAA	8
ENSG00000243660	UGA	0
ENSG00000127586	UAG	0
ENSG00000064655	UAG	3
ENSG00000101180	UGA	0
ENSG00000165630	UAA	0
ENSG00000181072	UAA	0
ENSG00000181616	UGA	0
ENSG00000151376	UGA	0
ENSG00000145982	UGA	0
ENSG00000148337	UGA	0
ENSG00000167984	UGA	0
ENSG00000116191	UAG	0
ENSG00000106012	UAG	0
ENSG00000118492	UAA	0
ENSG00000183873	UGA	0
ENSG00000127318	UGA	10
ENSG00000196228	UGA	0
ENSG00000167645	UGA	0
ENSG00000188611	UAG	3
ENSG00000251247	UGA	0
ENSG00000198633	UAA	0
ENSG00000185621	UAG	0
ENSG00000145626	UGA	0
ENSG00000186980	UAG	10
ENSG00000125648	UAA	0
ENSG00000257008	UAG	0
ENSG00000197891	UAG	0
ENSG00000155545	UGA	0
ENSG00000139219	UAA	0
ENSG00000184313	UGA	0
ENSG00000158458	UAG	0
ENSG00000088387	UAA	0
ENSG00000105366	UGA	3
ENSG00000106034	UGA	0
ENSG00000144591	UGA	0
ENSG00000127314	UAA	4
ENSG00000100228	UAA	0
ENSG00000173572	UAA	0
ENSG00000085117	UGA	0
ENSG00000183778	UGA	0
ENSG00000122483	UAA	0
ENSG00000187550	UGA	0
ENSG00000056291	UAA	0
ENSG00000130595	UAG	0
ENSG00000060656	UAG	0
ENSG00000107831	UAG	5
ENSG00000066468	UGA	0
ENSG00000157193	UGA	0
ENSG00000107831	UAG	5
ENSG00000187848	UGA	7
ENSG00000148737	UGA	0
ENSG00000134759	UAA	7
ENSG00000134759	UAA	7
ENSG00000013725	UAG	3
ENSG00000151388	UAA	7
ENSG00000069018	UAG	0
ENSG00000120088	UGA	0
ENSG00000134216	UAA	9
ENSG00000132356	UAA	8
ENSG00000087088	UGA	1
ENSG00000139974	UAA	0
ENSG00000146278	UAG	1
ENSG00000187239	UAA	6
ENSG00000136002	UGA	0
ENSG00000162929	UAA	0
ENSG00000184371	UGA	0
ENSG00000197786	UAA	1
ENSG00000083067	UAA	9
ENSG00000213199	UAA	6
ENSG00000161547	UAA	0
ENSG00000079385	UAA	6
ENSG00000088876	UAA	0
ENSG00000125375	UAA	0
ENSG00000013619	UGA	0
ENSG00000198231	UAG	0
ENSG00000140157	UAA	0
ENSG00000155846	UGA	4
ENSG00000006659	UGA	0
ENSG00000136861	UGA	0
ENSG00000100577	UAG	0
ENSG00000164651	UGA	3
ENSG00000148219	UAA	0
ENSG00000198848	UGA	0
ENSG00000080802	UAG	0
ENSG00000168214	UAA	0
ENSG00000117153	UAG	0
ENSG00000120278	UAA	0
ENSG00000164520	UAG	0
ENSG00000081237	UGA	0
ENSG00000152818	UGA	6
ENSG00000135838	UGA	0
ENSG00000135824	UAG	0
ENSG00000034693	UAA	0
ENSG00000174175	UAA	1
ENSG00000143199	UAA	0
ENSG00000028839	UAG	0
ENSG00000162761	UGA	6
ENSG00000112282	UAG	0
ENSG00000158488	UGA	0
ENSG00000143320	UAA	0
ENSG00000163467	UGA	8
ENSG00000112769	UAA	6
ENSG00000143452	UGA	0
ENSG00000151892	UAG	0
ENSG00000148737	UGA	0
ENSG00000163399	UGA	0
ENSG00000130830	UAA	0
ENSG00000134262	UAA	0
ENSG00000134262	UAA	0
ENSG00000160211	UGA	0
ENSG00000007341	UGA	0
ENSG00000125522	UGA	10
ENSG00000184371	UAG	9
ENSG00000112706	UGA	0
ENSG00000102032	UAA	3
ENSG00000186086	UGA	0
ENSG00000184343	UAG	4
ENSG00000183479	UGA	0
ENSG00000101198	UGA	2
ENSG00000102081	UAA	1
ENSG00000137944	UAG	0
ENSG00000189326	UGA	6
ENSG00000022267	UGA	0
ENSG00000151917	UGA	0
ENSG00000101182	UGA	0
ENSG00000116791	UGA	0
ENSG00000170899	UAA	6
ENSG00000125703	UGA	0
ENSG00000173406	UAG	0
ENSG00000116212	UAG	0
ENSG00000124201	UAG	0
ENSG00000132122	UGA	0
ENSG00000169925	UAA	0
ENSG00000162366	UAA	0
ENSG00000160323	UGA	0
ENSG00000122378	UGA	9
ENSG00000133678	UGA	0
ENSG00000117385	UGA	0
ENSG00000124232	UAG	0
ENSG00000163875	UGA	7
ENSG00000106992	UAG	9
ENSG00000124602	UGA	2
ENSG00000174306	UGA	0
ENSG00000119408	UAG	0
ENSG00000151150	UGA	0
ENSG00000147140	UAA	0
ENSG00000158161	UGA	9
ENSG00000088367	UGA	0
ENSG00000088367	UAG	0
ENSG00000090020	UGA	0
ENSG00000117713	UGA	0
ENSG00000158062	UGA	0
ENSG00000189266	UAA	3
ENSG00000204193	UAA	0
ENSG00000204252	UGA	0
ENSG00000158816	UAG	0
ENSG00000204311	UAA	0
ENSG00000115263	UAA	0
ENSG00000110660	UAG	0
ENSG00000204396	UGA	4
ENSG00000150054	UAA	4
ENSG00000204420	UGA	0
ENSG00000101336	UGA	0
ENSG00000204564	UGA	0
ENSG00000167799	UGA	8
ENSG00000243729	UGA	0
ENSG00000204700	UGA	0
ENSG00000204702	UGA	0
ENSG00000107242	UGA	0
ENSG00000165995	UGA	0
ENSG00000165995	UGA	7
ENSG00000171621	UGA	0
ENSG00000068831	UGA	0
ENSG00000068831	UGA	6
ENSG00000068831	UGA	6
ENSG00000068831	UGA	6
ENSG00000136738	UAG	0
ENSG00000188687	UGA	0
ENSG00000204852	UGA	1
ENSG00000196092	UGA	9
ENSG00000076555	UGA	0
ENSG00000164707	UAA	0
ENSG00000069018	UAG	0
ENSG00000164970	UGA	7
ENSG00000145979	UGA	0
ENSG00000123131	UAG	0
ENSG00000151655	UAA	5
ENSG00000152503	UAA	1
