A1BG	ENSG00000121410	ENST00000263100
A1CF	ENSG00000148584	ENST00000414883
A1CF	ENSG00000148584	ENST00000395489
A1CF	ENSG00000148584	ENST00000282641
A1CF	ENSG00000148584	ENST00000374001
A1CF	ENSG00000148584	ENST00000373997
A1CF	ENSG00000148584	ENST00000373995
A1CF	ENSG00000148584	ENST00000373993
A2M	ENSG00000175899	ENST00000539638
A2M	ENSG00000175899	ENST00000404455
A2M	ENSG00000175899	ENST00000546069
A2ML1	ENSG00000166535	ENST00000539547
A2ML1	ENSG00000166535	ENST00000537475
A2ML1	ENSG00000166535	ENST00000541459
A2ML1	ENSG00000166535	ENST00000536789
A4GALT	ENSG00000128274	ENST00000381278
A4GALT	ENSG00000128274	ENST00000401850
A4GALT	ENSG00000128274	ENST00000642412
A4GALT	ENSG00000128274	ENST00000249005
A4GNT	ENSG00000118017	ENST00000236709
AAAS	ENSG00000094914	ENST00000550286
AAAS	ENSG00000094914	ENST00000394384
AAAS	ENSG00000094914	ENST00000548931
AAAS	ENSG00000094914	ENST00000209873
AAAS	ENSG00000094914	ENST00000547757
AACS	ENSG00000081760	ENST00000418937
AACS	ENSG00000081760	ENST00000316519
AADAC	ENSG00000114771	ENST00000488869
AADAC	ENSG00000114771	ENST00000232892
AADACL2	ENSG00000197953	ENST00000445270
AADACL2	ENSG00000197953	ENST00000356517
AADACL3	ENSG00000188984	ENST00000359318
AADACL4	ENSG00000204518	ENST00000376221
AADAT	ENSG00000109576	ENST00000337664
AADAT	ENSG00000109576	ENST00000507375
AADAT	ENSG00000109576	ENST00000502392
AADAT	ENSG00000109576	ENST00000515480
AAGAB	ENSG00000103591	ENST00000261880
AAGAB	ENSG00000103591	ENST00000561452
AAGAB	ENSG00000103591	ENST00000560362
AAK1	ENSG00000115977	ENST00000624900
AAK1	ENSG00000115977	ENST00000606389
AAK1	ENSG00000115977	ENST00000409085
AAK1	ENSG00000115977	ENST00000409068
AAK1	ENSG00000115977	ENST00000406297
AAMDC	ENSG00000087884	ENST00000525409
AAMDC	ENSG00000087884	ENST00000525034
AAMDC	ENSG00000087884	ENST00000533193
AAMDC	ENSG00000087884	ENST00000304716
AAMDC	ENSG00000087884	ENST00000529666
AAMDC	ENSG00000087884	ENST00000532481
AAMDC	ENSG00000087884	ENST00000527134
