Transcript_ID	Codon	Length
ENSOCUT00000000001	UAA	132
ENSOCUT00000000003	UAG	2416
ENSOCUT00000000004	UAG	1000
ENSOCUT00000000010	UGA	1000
ENSOCUT00000000011	UAG	109
ENSOCUT00000000015	UGA	983
ENSOCUT00000000017	UGA	362
ENSOCUT00000000020	UGA	398
ENSOCUT00000000022	UAA	198
ENSOCUT00000000023	UGA	197
ENSOCUT00000000024	UAA	47
ENSOCUT00000000025	UGA	95
ENSOCUT00000000026	UGA	3437
ENSOCUT00000000030	UGA	32
ENSOCUT00000000031	UGA	157
ENSOCUT00000000036	UAA	701
ENSOCUT00000000038	UAA	323
ENSOCUT00000000055	UGA	127
ENSOCUT00000000059	UAA	242
ENSOCUT00000000061	UGA	93
ENSOCUT00000000063	UAA	238
ENSOCUT00000000064	UAG	319
ENSOCUT00000000070	UGA	623
ENSOCUT00000000071	UAA	22
ENSOCUT00000000073	UGA	622
ENSOCUT00000000074	UAA	49
ENSOCUT00000000079	UGA	1000
ENSOCUT00000000082	UAA	1196
ENSOCUT00000000084	UAA	415
ENSOCUT00000000085	UAG	194
ENSOCUT00000000090	UAG	912
ENSOCUT00000000091	UGA	626
ENSOCUT00000000092	UAA	257
ENSOCUT00000000094	UGA	1472
ENSOCUT00000000098	UGA	1000
ENSOCUT00000000104	UAG	1387
ENSOCUT00000000105	UGA	808
ENSOCUT00000000108	UGA	1000
ENSOCUT00000000111	UAG	67
ENSOCUT00000000114	UGA	46
ENSOCUT00000000116	UAG	55
ENSOCUT00000000120	UGA	1058
ENSOCUT00000000129	UGA	197
ENSOCUT00000000137	UGA	220
ENSOCUT00000000141	UAA	350
ENSOCUT00000000148	UGA	0
ENSOCUT00000000149	UAA	27
ENSOCUT00000000156	UGA	766
ENSOCUT00000000157	UGA	696
ENSOCUT00000000158	UGA	83
ENSOCUT00000000159	UAG	1000
ENSOCUT00000000161	UGA	75
ENSOCUT00000000164	UAG	913
ENSOCUT00000000165	UGA	120
ENSOCUT00000000167	UAA	693
ENSOCUT00000000172	UAA	1000
ENSOCUT00000000174	UGA	968
ENSOCUT00000000175	UAG	248
ENSOCUT00000000178	UAG	203
ENSOCUT00000000184	UAA	342
ENSOCUT00000000185	UGA	1000
ENSOCUT00000000186	UGA	890
ENSOCUT00000000195	UGA	1472
ENSOCUT00000000198	UAG	145
ENSOCUT00000000201	UAA	1000
ENSOCUT00000000203	UAG	0
ENSOCUT00000000206	UAG	55
ENSOCUT00000000207	UGA	1289
ENSOCUT00000000218	UAG	1000
ENSOCUT00000000223	UAA	600
ENSOCUT00000000227	UAG	5
ENSOCUT00000000228	UAG	1178
ENSOCUT00000000229	UAG	189
ENSOCUT00000000236	UAG	1000
ENSOCUT00000000237	UAA	499
ENSOCUT00000000239	UAA	4
ENSOCUT00000000244	UGA	232
ENSOCUT00000000246	UAG	1000
ENSOCUT00000000247	UAG	2119
ENSOCUT00000000249	UAG	1000
ENSOCUT00000000252	UGA	675
ENSOCUT00000000256	UGA	15
ENSOCUT00000000258	UGA	919
ENSOCUT00000000266	UAA	10
ENSOCUT00000000269	UAA	258
ENSOCUT00000000277	UAA	73
ENSOCUT00000000278	UGA	868
ENSOCUT00000000282	UAA	159
ENSOCUT00000000285	UAG	106
ENSOCUT00000000286	UGA	506
ENSOCUT00000000289	UGA	1402
ENSOCUT00000000291	UAG	8
ENSOCUT00000000293	UGA	427
ENSOCUT00000000294	UAG	1000
ENSOCUT00000000297	UGA	114
ENSOCUT00000000300	UGA	1274
ENSOCUT00000000303	UAA	534
ENSOCUT00000000304	UGA	247
ENSOCUT00000000305	UAG	1478
ENSOCUT00000000306	UGA	1351
ENSOCUT00000000307	UAA	367
ENSOCUT00000000310	UGA	471
ENSOCUT00000000315	UAG	283
ENSOCUT00000000318	UAA	18
ENSOCUT00000000323	UGA	8
ENSOCUT00000000325	UAG	121
ENSOCUT00000000328	UAA	614
ENSOCUT00000000330	UGA	306
ENSOCUT00000000331	UGA	219
ENSOCUT00000000335	UAG	710
ENSOCUT00000000338	UAG	484
ENSOCUT00000000342	UGA	12
ENSOCUT00000000343	UGA	1000
ENSOCUT00000000345	UAA	932
ENSOCUT00000000347	UAA	32
ENSOCUT00000000349	UGA	715
ENSOCUT00000000353	UGA	25
ENSOCUT00000000357	UGA	1000
ENSOCUT00000000366	UGA	439
ENSOCUT00000000377	UAG	105
ENSOCUT00000000378	UGA	365
ENSOCUT00000000381	UGA	330
ENSOCUT00000000384	UGA	0
ENSOCUT00000000385	UGA	1319
ENSOCUT00000000387	UGA	0
ENSOCUT00000000393	UGA	1144
ENSOCUT00000000400	UGA	226
ENSOCUT00000000401	UAA	1000
ENSOCUT00000000402	UGA	131
ENSOCUT00000000403	UAA	63
ENSOCUT00000000405	UAG	259
ENSOCUT00000000407	UAG	142
ENSOCUT00000000408	UGA	142
ENSOCUT00000000409	UAG	97
ENSOCUT00000000410	UGA	1603
ENSOCUT00000000424	UAG	1724
ENSOCUT00000000426	UGA	2010
ENSOCUT00000000435	UAA	295
ENSOCUT00000000436	UAG	635
ENSOCUT00000000438	UGA	2301
ENSOCUT00000000439	UGA	81
ENSOCUT00000000440	UAG	296
ENSOCUT00000000441	UAA	217
ENSOCUT00000000445	UGA	51
ENSOCUT00000000452	UAA	240
ENSOCUT00000000456	UAA	301
ENSOCUT00000000457	UGA	255
ENSOCUT00000000459	UAG	438
ENSOCUT00000000462	UAA	151
ENSOCUT00000000466	UAA	133
ENSOCUT00000000468	UGA	282
ENSOCUT00000000470	UAG	113
ENSOCUT00000000472	UGA	205
ENSOCUT00000000474	UAA	534
ENSOCUT00000000475	UGA	847
ENSOCUT00000000478	UGA	147
ENSOCUT00000000482	UAA	293
ENSOCUT00000000485	UGA	59
ENSOCUT00000000490	UAG	550
ENSOCUT00000000492	UGA	450
ENSOCUT00000000494	UAG	134
ENSOCUT00000000495	UGA	1556
ENSOCUT00000000497	UGA	494
ENSOCUT00000000499	UAA	681
ENSOCUT00000000505	UAG	913
ENSOCUT00000000507	UAG	1000
ENSOCUT00000000508	UAG	1502
ENSOCUT00000000510	UGA	783
ENSOCUT00000000512	UGA	157
ENSOCUT00000000513	UAA	167
ENSOCUT00000000520	UGA	77
ENSOCUT00000000528	UAG	1025
ENSOCUT00000000530	UAG	50
ENSOCUT00000000533	UAG	532
ENSOCUT00000000534	UGA	0
ENSOCUT00000000535	UGA	1673
ENSOCUT00000000539	UAG	384
ENSOCUT00000000543	UAA	366
ENSOCUT00000000561	UGA	303
ENSOCUT00000000566	UGA	1914
ENSOCUT00000000568	UGA	25
ENSOCUT00000000572	UAG	0
ENSOCUT00000000573	UAA	184
ENSOCUT00000000574	UAA	1136
ENSOCUT00000000575	UAG	127
ENSOCUT00000000577	UGA	951
ENSOCUT00000000578	UGA	1000
ENSOCUT00000000580	UGA	184
ENSOCUT00000000581	UAG	791
ENSOCUT00000000582	UGA	539
ENSOCUT00000000584	UAG	65
ENSOCUT00000000585	UAG	390
ENSOCUT00000000586	UGA	170
ENSOCUT00000000592	UGA	482
ENSOCUT00000000593	UGA	0
ENSOCUT00000000594	UAA	150
ENSOCUT00000000596	UGA	853
ENSOCUT00000000601	UAG	81
ENSOCUT00000000606	UGA	323
ENSOCUT00000000608	UAG	1444
ENSOCUT00000000611	UGA	934
ENSOCUT00000000612	UGA	363
ENSOCUT00000000616	UAA	847
ENSOCUT00000000619	UAA	379
ENSOCUT00000000626	UAG	1000
ENSOCUT00000000629	UAA	615
ENSOCUT00000000635	UGA	1139
ENSOCUT00000000637	UGA	115
ENSOCUT00000000641	UAA	1000
ENSOCUT00000000646	UAA	1784
ENSOCUT00000000649	UAG	40
ENSOCUT00000000650	UAG	264
ENSOCUT00000000653	UGA	534
ENSOCUT00000000654	UGA	254
ENSOCUT00000000655	UGA	749
ENSOCUT00000000657	UAA	954
ENSOCUT00000000660	UGA	562
ENSOCUT00000000668	UAA	98
ENSOCUT00000000673	UGA	60
ENSOCUT00000000674	UGA	53
ENSOCUT00000000676	UGA	404
ENSOCUT00000000677	UAG	295
ENSOCUT00000000679	UAA	623
ENSOCUT00000000680	UAG	461
ENSOCUT00000000683	UAA	422
ENSOCUT00000000687	UGA	431
ENSOCUT00000000693	UAA	102
ENSOCUT00000000694	UGA	224
ENSOCUT00000000695	UAA	111
ENSOCUT00000000696	UGA	71
ENSOCUT00000000703	UAA	1000
ENSOCUT00000000710	UGA	272
ENSOCUT00000000714	UAA	497
ENSOCUT00000000716	UGA	297
ENSOCUT00000000717	UAA	50
ENSOCUT00000000718	UGA	739
ENSOCUT00000000720	UAA	406
ENSOCUT00000000722	UGA	181
ENSOCUT00000000727	UAG	260
ENSOCUT00000000730	UGA	936
ENSOCUT00000000732	UGA	617
ENSOCUT00000000737	UAA	682
ENSOCUT00000000738	UGA	1000
ENSOCUT00000000742	UGA	58
ENSOCUT00000000743	UGA	1000
ENSOCUT00000000749	UGA	527
ENSOCUT00000000751	UGA	711
ENSOCUT00000000753	UAG	453
ENSOCUT00000000754	UGA	474
ENSOCUT00000000755	UAG	410
ENSOCUT00000000756	UGA	720
ENSOCUT00000000757	UAA	549
ENSOCUT00000000758	UAG	7
ENSOCUT00000000762	UGA	545
ENSOCUT00000000763	UGA	1000
ENSOCUT00000000770	UGA	0
ENSOCUT00000000776	UGA	925
ENSOCUT00000000778	UAG	2702
ENSOCUT00000000780	UAG	251
ENSOCUT00000000781	UAA	0
ENSOCUT00000000785	UAA	641
ENSOCUT00000000787	UAG	244
ENSOCUT00000000789	UAG	1952
ENSOCUT00000000790	UAG	121
ENSOCUT00000000792	UGA	0
ENSOCUT00000000794	UAA	27
ENSOCUT00000000795	UAG	1578
ENSOCUT00000000802	UGA	1000
ENSOCUT00000000803	UAG	0
ENSOCUT00000000807	UGA	0
ENSOCUT00000000809	UGA	0
ENSOCUT00000000810	UAA	1000
ENSOCUT00000000811	UGA	257
ENSOCUT00000000814	UAA	220
ENSOCUT00000000816	UAG	107
ENSOCUT00000000817	UGA	1000
ENSOCUT00000000818	UGA	45
ENSOCUT00000000820	UGA	2661
ENSOCUT00000000825	UGA	81
ENSOCUT00000000828	UGA	648
ENSOCUT00000000829	UAA	123
ENSOCUT00000000830	UAG	75
ENSOCUT00000000835	UGA	591
ENSOCUT00000000837	UAG	59
ENSOCUT00000000839	UGA	0
ENSOCUT00000000847	UAG	1246
ENSOCUT00000000848	UGA	521
ENSOCUT00000000849	UAG	393
ENSOCUT00000000851	UGA	42
ENSOCUT00000000861	UAA	39
ENSOCUT00000000865	UAA	697
ENSOCUT00000000866	UAA	116
ENSOCUT00000000867	UAA	119
ENSOCUT00000000875	UGA	1000
ENSOCUT00000000876	UAA	0
ENSOCUT00000000883	UGA	8
ENSOCUT00000000886	UAA	648
ENSOCUT00000000887	UAG	820
ENSOCUT00000000889	UAG	305
ENSOCUT00000000895	UAG	1326
ENSOCUT00000000897	UGA	68
ENSOCUT00000000905	UGA	728
ENSOCUT00000000906	UGA	43
ENSOCUT00000000907	UAA	2214
ENSOCUT00000000909	UAA	519
ENSOCUT00000000911	UAG	802
ENSOCUT00000000923	UGA	1000
ENSOCUT00000000927	UGA	1000
ENSOCUT00000000928	UAA	27
ENSOCUT00000000929	UAA	251
ENSOCUT00000000930	UAA	432
ENSOCUT00000000931	UAA	300
ENSOCUT00000000932	UAG	60
ENSOCUT00000000933	UAG	454
ENSOCUT00000000937	UGA	561
ENSOCUT00000000939	UGA	322
ENSOCUT00000000941	UGA	193
ENSOCUT00000000942	UAG	69
ENSOCUT00000000943	UAG	1447
