Gene	Codon	Length
ENSG00000000419	UAA	112
ENSG00000000419	UAA	262
ENSG00000000419	UAA	187
ENSG00000000419	UAA	265
ENSG00000000419	UGA	503
ENSG00000000419	UAA	560
ENSG00000000457	UGA	639
ENSG00000000457	UGA	639
ENSG00000000457	UGA	4082
ENSG00000001084	UGA	403
ENSG00000001084	UAG	1209
ENSG00000001084	UAG	1415
ENSG00000001084	UAG	369
ENSG00000001084	UAG	1372
ENSG00000001084	UAG	1415
ENSG00000002330	UGA	108
ENSG00000002330	UGA	50
ENSG00000002330	UGA	379
ENSG00000002330	UGA	379
ENSG00000002549	UAG	381
ENSG00000002549	UAG	378
ENSG00000002549	UAG	345
ENSG00000003056	UAG	1457
ENSG00000003056	UGA	360
ENSG00000003056	UAG	1454
ENSG00000003056	UAG	1646
ENSG00000003056	UAG	169
ENSG00000003056	UGA	213
ENSG00000003056	UGA	248
ENSG00000003393	UGA	2438
ENSG00000003393	UAA	730
ENSG00000003393	UAA	1540
ENSG00000003393	UGA	3320
ENSG00000003393	UAG	1284
ENSG00000003393	UAG	3923
ENSG00000003393	UAG	976
ENSG00000003393	UAG	1041
ENSG00000003393	UAG	1285
ENSG00000003393	UAG	976
ENSG00000003393	UAA	4273
ENSG00000003393	UAG	1284
ENSG00000003393	UAA	1926
ENSG00000003393	UAG	1584
ENSG00000003393	UGA	4201
ENSG00000003393	UAA	2306
ENSG00000003393	UAG	1284
ENSG00000003393	UAG	1285
ENSG00000003393	UGA	1322
ENSG00000003393	UAG	934
ENSG00000003393	UGA	0
ENSG00000003393	UAA	2473
ENSG00000003393	UAA	1540
ENSG00000003393	UAG	1284
ENSG00000003393	UAG	1285
ENSG00000003393	UGA	4113
ENSG00000003393	UAG	1414
ENSG00000003393	UGA	1272
ENSG00000003393	UGA	5125
ENSG00000003393	UAG	973
ENSG00000003393	UAA	3952
ENSG00000003393	UGA	1305
ENSG00000003393	UAG	402
ENSG00000003393	UGA	2438
ENSG00000003393	UAG	1286
ENSG00000003393	UAA	3347
ENSG00000003393	UAG	4219
ENSG00000003393	UGA	2976
ENSG00000003393	UAG	961
ENSG00000003393	UGA	1346
ENSG00000003393	UGA	2607
ENSG00000003393	UGA	1272
ENSG00000003393	UGA	540
ENSG00000003393	UAG	1285
ENSG00000003756	UGA	767
ENSG00000003756	UGA	2120
ENSG00000003756	UGA	565
ENSG00000003756	UGA	186
ENSG00000004059	UAA	401
ENSG00000004142	UAG	1484
ENSG00000004142	UAG	456
ENSG00000004455	UAG	2522
ENSG00000004455	UAG	2629
ENSG00000004455	UAG	4375
ENSG00000004455	UGA	123
ENSG00000004455	UAG	2843
ENSG00000004455	UGA	360
ENSG00000004455	UAG	2928
ENSG00000004455	UAA	4289
ENSG00000004455	UAG	415
ENSG00000004455	UAG	351
ENSG00000004455	UAG	2667
ENSG00000004455	UGA	7522
