Gene	Symbol	Length
ENSG00000101898	MCTS2	32
ENSG00000110700	RPS13	19
ENSG00000110700	RPS13	45
ENSG00000112306	RPS12	22
ENSG00000177600	RPLP2	40
ENSG00000177600	RPLP2	35
ENSG00000177600	RPLP2	38
ENSG00000197958	RPL12	44
ENSG00000197958	RPL12	47
ENSG00000198755	RPL10A	30
ENSG00000231500	RPS18	44
ENSG00000231500	RPS18	45
